date,open,high,low,close,volume
2026-05-01,13.8565986328125,13.8565986328125,13.8565986328125,13.8565986328125,0
2026-05-04,13.8565986328125,13.8980849609375,13.773625,13.8980849609375,2397990
2026-05-05,13.8980849609375,13.8980849609375,13.7321376953125,13.8980849609375,2318808
2026-05-06,13.773625,13.939572265625,13.773625,13.939572265625,2290245
2026-05-07,13.939572265625,14.0225458984375,13.8980849609375,13.939572265625,2283375
2026-05-08,13.939572265625,13.98105859375,13.815111328125,13.939572265625,2219138
2026-05-11,13.8980849609375,13.939572265625,13.773625,13.8565986328125,2529960
2026-05-12,13.8565986328125,13.8565986328125,13.7321376953125,13.7321376953125,2358821
2026-05-13,13.815111328125,13.815111328125,13.6906513671875,13.815111328125,2311697
2026-05-14,13.815111328125,13.8565986328125,13.773625,13.8565986328125,2209135
2026-05-15,13.8565986328125,13.8565986328125,13.6906513671875,13.6906513671875,2420527
2026-05-18,13.7321376953125,13.7321376953125,13.5661904296875,13.7321376953125,2340140
2026-05-19,13.773625,13.773625,13.607677734375,13.6906513671875,2396664
2026-05-20,13.6491640625,13.6906513671875,13.5661904296875,13.6491640625,2262766
2026-05-21,13.6491640625,13.7321376953125,13.5661904296875,13.7321376953125,2523331
2026-05-22,13.7321376953125,13.8565986328125,13.6906513671875,13.8565986328125,2223838
2026-05-25,13.8565986328125,14.271466796875,13.8565986328125,14.271466796875,2286870
2026-05-26,14.2299794921875,14.478900390625,14.1884931640625,14.478900390625,2552497
2026-05-27,14.478900390625,14.8522822265625,14.312953125,14.8522822265625,4742831
2026-05-28,14.85,14.95,14.3,14.45,1855600
2026-05-29,14.5,14.5,14.0,14.0,2358100
2026-06-01,14.0,14.25,13.95,14.2,2871800
2026-06-02,14.2,14.45,14.2,14.4,2898500
2026-06-03,14.4,14.5,14.2,14.4,3461200
2026-06-04,14.45,14.45,14.15,14.35,2966100
2026-06-05,14.35,14.35,14.05,14.35,2984000
2026-06-08,14.35,14.35,14.1,14.3,2637200
2026-06-09,14.25,14.35,14.15,14.35,2410200
2026-06-10,14.35,14.5,14.3,14.4,2271300
2026-06-11,14.35,14.5,14.35,14.5,2110400
2026-06-12,14.55,14.7,14.4,14.55,2178700
2026-06-15,14.65,14.85,14.5,14.85,2322100
2026-06-16,14.85,14.9,14.65,14.85,2116200
2026-06-17,14.85,14.9,14.7,14.9,1903900
2026-06-18,14.9,14.9,14.65,14.85,2491200
2026-06-19,14.85,14.9,14.7,14.9,2337600
2026-06-22,14.85,15.0,14.75,14.95,2656300
2026-06-23,15.0,15.15,14.85,15.15,2080900
2026-06-24,15.15,15.2,14.9,15.15,2432500
2026-06-25,15.1,15.2,15.0,15.2,2238400
2026-06-26,15.2,16.25,15.1,16.1,3324700
2026-06-29,16.35,16.35,16.0,16.15,2060100
2026-06-30,16.15,16.2,15.7,16.2,2970600
2026-07-01,16.15,16.2,15.7,16.2,2970600
2026-07-02,16.45,16.55,16.3,16.5,2233800
2026-07-03,16.5,16.5,16.35,16.5,2092000
2026-07-06,16.5,16.5,16.05,16.4,2425200
2026-07-07,16.4,16.4,16.15,16.4,2168400
2026-07-08,16.4,16.4,16.25,16.4,2275500
2026-07-09,16.35,16.4,15.85,15.95,2241900
2026-07-10,15.7,16.25,15.65,16.25,2245900
2026-07-13,16.2,16.25,15.45,15.65,2493500
2026-07-14,15.65,15.9,15.25,15.9,2117100
2026-07-15,15.9,15.9,15.6,15.8,2091700
2026-07-16,15.8,16.0,15.65,16.0,2057800
2026-07-17,16.0,16.05,15.45,15.95,2330900
2026-07-20,15.9,15.9,15.25,15.75,2322000
2026-07-21,15.8,15.8,15.5,15.65,2199400
2026-07-22,15.65,15.75,15.05,15.65,2774200
2026-07-23,15.6,15.8,15.35,15.65,2316600
2026-07-24,15.45,15.6,15.25,15.4,1961400
2026-07-27,15.45,15.55,15.3,15.55,1844400
2026-07-28,15.4,15.55,15.35,15.55,2080100
2026-07-29,15.4,15.5,14.95,15.4,2057100
2026-07-30,15.3,15.55,15.05,15.55,2195400
2026-07-31,15.65,15.65,15.35,15.55,2149600
2026-08-03,15.55,15.55,15.4,15.55,2217000
2026-08-04,15.5,15.5,15.2,15.45,2213000
2026-08-05,15.4,15.4,15.15,15.35,2157500
2026-08-06,15.3,15.3,15.05,15.2,2108400
2026-08-07,15.2,15.2,15.05,15.05,2027800
2026-08-10,15.05,15.3,14.8,15.25,2228300
2026-08-11,15.25,15.45,15.25,15.4,1901900
2026-08-12,15.45,15.55,15.3,15.45,1947100
2026-08-13,15.45,15.5,15.2,15.2,1888500
2026-08-14,15.15,15.35,14.8,15.05,2407500
