date,open,high,low,close,volume
2026-06-10,13.65,13.7,13.5,13.65,3650400
2026-06-11,13.55,13.6,13.5,13.6,3151200
2026-06-12,13.65,13.7,13.4,13.5,4267900
2026-06-15,13.55,14.0,13.5,13.9,9857800
2026-06-16,13.95,14.35,13.9,14.15,18398500
2026-06-17,14.25,14.3,14.05,14.15,7934500
2026-06-18,14.15,14.35,14.1,14.2,8125800
2026-06-19,14.2,14.2,13.85,13.9,11331600
2026-06-22,14.0,14.55,13.8,14.5,15925700
2026-06-23,14.5,14.6,14.1,14.3,9039400
2026-06-24,14.25,14.3,14.0,14.1,5901100
2026-06-25,14.15,14.6,14.1,14.5,22141900
2026-06-26,14.5,14.9,14.45,14.8,20921500
2026-06-29,14.85,15.1,14.65,14.8,14886200
2026-06-30,14.8,14.95,14.65,14.7,11078700
2026-07-01,14.8,14.95,14.65,14.7,11078700
2026-07-02,14.65,14.9,14.5,14.9,11845400
2026-07-03,14.95,15.0,14.65,14.9,11048900
2026-07-06,14.8,15.15,14.5,14.8,20318900
2026-07-07,14.85,14.85,14.5,14.7,8122400
2026-07-08,14.75,14.85,14.5,14.7,7698900
2026-07-09,14.65,14.65,14.2,14.2,13803500
2026-07-10,14.25,14.35,14.1,14.1,8203900
2026-07-13,14.15,14.15,13.65,13.8,13253100
2026-07-14,13.8,14.1,13.65,14.1,6043800
2026-07-15,14.0,14.05,13.8,13.9,5103300
2026-07-16,13.9,14.1,13.4,14.1,11243100
2026-07-17,14.05,14.05,13.7,13.9,4744700
2026-07-20,13.8,13.8,13.05,13.55,11487700
2026-07-21,13.6,13.75,13.35,13.55,8528600
2026-07-22,13.55,13.7,13.1,13.2,9145300
2026-07-23,13.25,13.55,13.0,13.55,8813800
2026-07-24,13.4,13.45,13.2,13.35,4531800
2026-07-27,13.35,13.45,13.2,13.2,3746500
2026-07-28,13.1,13.3,12.9,13.3,6764100
2026-07-29,13.35,13.35,13.05,13.35,5026300
2026-07-30,13.35,13.7,13.35,13.7,8490000
2026-07-31,13.95,14.1,13.6,13.6,12026900
2026-08-03,13.85,13.95,13.65,13.95,6454800
2026-08-04,14.0,14.0,13.75,13.9,5010300
2026-08-05,14.05,14.05,13.65,13.8,9235600
2026-08-06,13.8,13.8,13.4,13.4,8307700
2026-08-07,13.45,13.8,13.45,13.6,6926700
2026-08-10,13.7,13.9,13.6,13.85,6669700
2026-08-11,13.8,13.9,13.7,13.75,5547300
2026-08-12,13.8,13.8,13.6,13.75,6056700
2026-08-13,13.75,13.75,13.5,13.5,7029400
2026-08-14,13.5,13.5,13.2,13.25,8659900
